#class tools::histo::h1d
#title Energia depositada por evento
#dimension 1
#axis fixed 100 0 10
#annotation axis_x.title 
#bin_number 102
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
90,90,90,96.2234,102.923
276,276,276,317.709,365.948
237,237,237,296.189,370.372
129,129,129,173.206,232.662
72,72,72,104.413,151.471
51,51,51,78.9067,122.127
32,32,32,52.4916,86.1259
23,23,23,39.8565,69.0866
14,14,14,26.0057,48.313
16,16,16,31.1262,60.5618
10,10,10,20.403,41.6363
8,8,8,17.185,36.9254
4,4,4,8.963,20.0877
9,9,9,21.0566,49.2685
5,5,5,12.197,29.7541
9,9,9,23.0663,59.1259
4,4,4,10.601,28.0972
2,2,2,5.4814,15.0241
3,3,3,8.5677,24.4714
1,1,1,2.95746,8.74655
1,1,1,3.03231,9.19488
2,2,2,6.2536,19.5547
0,0,0,0,0
1,1,1,3.34583,11.1946
0,0,0,0,0
1,1,1,3.56668,12.7212
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
